TMJ_1990_163_193/27.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
Lorentz48/7.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/10.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/5.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/2.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/17.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/22.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/18.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/21.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/24.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/9.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/14.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/20.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/4.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/13.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/19.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/11.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/12.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/1.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/8.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/15.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/3.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/6.png:           PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Burstall77/16.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/23.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/7.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/10.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/5.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/2.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/17.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/22.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/18.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/21.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/24.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/9.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/14.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/20.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/4.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/13.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/19.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/11.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/12.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/1.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/8.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/15.png:         PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/3.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Burstall77/6.png:          PNG image data, 3751 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/27.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/31.png:            PNG image data, 3626 x 5717, 8-bit/color RGB, non-interlaced
Gidas79/26.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/34.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/16.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/23.png:            PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/29.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/7.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/10.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/5.png:             PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/2.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/25.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/17.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/22.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/18.png:            PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/21.png:            PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/24.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/9.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/14.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/28.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/32.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/35.png:            PNG image data, 3609 x 5709, 8-bit/color RGB, non-interlaced
Gidas79/33.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/20.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/36.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/4.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/13.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/19.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/11.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/12.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/1.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/30.png:            PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/8.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/15.png:            PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/3.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
Gidas79/6.png:             PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
AIF_1970_493_498/5.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1970_493_498/2.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1970_493_498/4.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1970_493_498/1.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1970_493_498/3.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AIF_1970_493_498/6.png:    PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Lusztig89/27.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/31.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/26.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/34.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/16.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/23.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/29.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/7.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/10.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/5.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/2.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/25.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/17.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/22.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/18.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/21.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/37.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/24.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/9.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/14.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/28.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/32.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/35.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/33.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/20.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/36.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/4.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/13.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/19.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/11.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/12.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/1.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/30.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/8.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/15.png:          PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/3.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
Lusztig89/6.png:           PNG image data, 4001 x 5900, 8-bit/color RGB, non-interlaced
JMS_1975_289_293/5.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_289_293/2.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_289_293/4.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_289_293/1.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_289_293/3.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
Cline88/7.png:             PNG image data, 5150 x 6626, 8-bit/color RGB, non-interlaced
Cline88/10.png:            PNG image data, 5100 x 6592, 8-bit/color RGB, non-interlaced
Cline88/5.png:             PNG image data, 5117 x 6601, 8-bit/color RGB, non-interlaced
Cline88/2.png:             PNG image data, 5117 x 6601, 8-bit/color RGB, non-interlaced
Cline88/9.png:             PNG image data, 5100 x 6592, 8-bit/color RGB, non-interlaced
Cline88/14.png:            PNG image data, 5117 x 6601, 8-bit/color RGB, non-interlaced
Cline88/4.png:             PNG image data, 5125 x 6609, 8-bit/color RGB, non-interlaced
Cline88/13.png:            PNG image data, 5134 x 6626, 8-bit/color RGB, non-interlaced
Cline88/11.png:            PNG image data, 5117 x 6601, 8-bit/color RGB, non-interlaced
Cline88/12.png:            PNG image data, 5117 x 6601, 8-bit/color RGB, non-interlaced
Cline88/1.png:             PNG image data, 5117 x 6601, 8-bit/color RGB, non-interlaced
Cline88/8.png:             PNG image data, 5100 x 6592, 8-bit/color RGB, non-interlaced
Cline88/15.png:            PNG image data, 5100 x 6592, 8-bit/color RGB, non-interlaced
Cline88/3.png:             PNG image data, 5150 x 6626, 8-bit/color RGB, non-interlaced
Cline88/6.png:             PNG image data, 5100 x 6592, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/7.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/10.png:   PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/5.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/2.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/9.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/4.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/1.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/8.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/3.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_497_506/6.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/7.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/10.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/5.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/2.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/9.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/14.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/4.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/13.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/11.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/12.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/1.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/8.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/3.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
InvM_1970_121_134/6.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Li75/7.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/5.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/2.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/9.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/4.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/1.png:                PNG image data, 5100 x 6667, 8-bit/color RGB, non-interlaced
Li75/8.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/3.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Li75/6.png:                PNG image data, 4001 x 5867, 8-bit/color RGB, non-interlaced
Borcherds86/2.png:         PNG image data, 5245 x 6845, 8-bit/color RGB, non-interlaced
Borcherds86/4.png:         PNG image data, 5245 x 6845, 8-bit/color RGB, non-interlaced
Borcherds86/1.png:         PNG image data, 5245 x 6845, 8-bit/color RGB, non-interlaced
Borcherds86/3.png:         PNG image data, 5245 x 6845, 8-bit/color RGB, non-interlaced
Alford94/16.png:           PNG image data, 3775 x 5742, 8-bit/color RGB, non-interlaced
Alford94/7.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/10.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/5.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/2.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/17.png:           PNG image data, 3775 x 5751, 8-bit/color RGB, non-interlaced
Alford94/18.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/9.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/14.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/20.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/4.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/13.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/19.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/11.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/12.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/1.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/8.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/15.png:           PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/3.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
Alford94/6.png:            PNG image data, 3775 x 5634, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/16.png:   PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/7.png:    PNG image data, 4175 x 6100, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/10.png:   PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/5.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/2.png:    PNG image data, 4134 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/9.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/14.png:   PNG image data, 4134 x 6084, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/4.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/13.png:   PNG image data, 4134 x 6084, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/11.png:   PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/12.png:   PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/1.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/8.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/15.png:   PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/3.png:    PNG image data, 4175 x 6109, 8-bit/color RGB, non-interlaced
TMJ_1973_317_331/6.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
Katz99/26.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/16.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/23.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/7.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/10.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/5.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/2.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/25.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/17.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/22.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/18.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/21.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/24.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/9.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/14.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/20.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/4.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/13.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/19.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/11.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/12.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/1.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/8.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/15.png:             PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/3.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Katz99/6.png:              PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/7.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/10.png: PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/5.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/2.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/9.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/14.png: PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/4.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/13.png: PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/11.png: PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/12.png: PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/1.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/8.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/15.png: PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/3.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
Arkiv_1997_185_199/6.png:  PNG image data, 3901 x 5642, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/27.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/26.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/16.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/23.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/7.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/10.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/5.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/2.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/25.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/17.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/22.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/18.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/21.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/24.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/9.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/14.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/20.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/4.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/13.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/19.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/11.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/12.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/1.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/8.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/15.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/3.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BSMF_1998_245_271/6.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/16.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/23.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/7.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/10.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/5.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/2.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/17.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/22.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/18.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/21.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/9.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/14.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/20.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/4.png:  PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/13.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
Arkiv_1971_141_163/19.png: PNG image data, 4134 x 5934, 8-bit/color RGB, non-interlaced
